Date,Month,Username,Item,Price,Category,Shoppingtype
2/6/2014,Feb-14,Shugo,University G Resident,460.95,S,STRONL
2/6/2014,Feb-14,Shugo,Dunkin Donuts,1.41,F,STRSTR
2/5/2014,Feb-14,Shugo,Panda Express,7.22,F,STRSTR
2/4/2014,Feb-14,Shugo,Stree,20.84,G,STRSTR
2/3/2014,Feb-14,Shugo,Legend,1.50,F,STRSTR
2/3/2014,Feb-14,Shugo,Legend,6.00,F,STRSTR
2/3/2014,Feb-14,Shugo,Stree,3.32,G,STRSTR
2/3/2014,Feb-14,Shugo,Dunkin Donuts,3.94,F,STRSTR
2/3/2014,Feb-14,Shugo,Cracked Truck,6.00,F,STRSTR
1/31/2014,Jan-14,Shugo,Stree,3.32,G,STRSTR
1/31/2014,Jan-14,Shugo,Espresso Royale,2.19,F,STRSTR
1/30/2014,Jan-14,Shugo,Dunkin Donuts,2.17,F,STRSTR
1/30/2014,Jan-14,Shugo,Cravings,6.00,F,STRSTR
